Review_ID,Review_Text,Rating
1,the battery life is goood,5
2,smooth performance definitely a goood purchase,5
3,the software is incredibly sloww and buggy,1
4,absolutely terribleee customer service and the screen broke instantly,2
5,the software is incredibly sloww and buggy,1
7,absolutely terribleee customer service and the screen broke instantly,2
8,the battery life is goood,4
9,love the new design it feels very premium,4
10,the software is incredibly sloww and buggy,1
11,best smartphone i have owned in years highly recommended,4
12,camera is blurry and the apps are sloww to open,2
13,waste of money performance is terribleee compared to the last model,2
14,smooth performance definitely a goood purchase,5
15,the battery life is goood,5
16,waste of money performance is terribleee compared to the last model,1
17,the screen is nice but ive seen better battery life,3
18,waste of money performance is terribleee compared to the last model,1
20,camera is blurry and the apps are sloww to open,2
21,amazing display and the goood camera quality makes it worth it,5
22,absolutely terribleee customer service and the screen broke instantly,2
23,absolutely terribleee customer service and the screen broke instantly,1
24,amazing display and the goood camera quality makes it worth it,5
25,best smartphone i have owned in years highly recommended,5
26,the software is incredibly sloww and buggy,2
27,camera is blurry and the apps are sloww to open,1
28,camera is blurry and the apps are sloww to open,1
30,smooth performance definitely a goood purchase,4
31,amazing display and the goood camera quality makes it worth it,4
32,amazing display and the goood camera quality makes it worth it,4
33,waste of money performance is terribleee compared to the last model,2
35,waste of money performance is terribleee compared to the last model,2
36,best smartphone i have owned in years highly recommended,5
37,smooth performance definitely a goood purchase,4
38,average build quality not great but not terribleee either,3
39,best smartphone i have owned in years highly recommended,5
40,the software is incredibly sloww and buggy,2
41,amazing display and the goood camera quality makes it worth it,5
43,best smartphone i have owned in years highly recommended,5
45,waste of money performance is terribleee compared to the last model,2
46,its an okay phone but the charging is a bit sloww,3
47,amazing display and the goood camera quality makes it worth it,5
48,absolutely terribleee customer service and the screen broke instantly,2
49,smooth performance definitely a goood purchase,5
50,love the new design it feels very premium,4
51,the software is incredibly sloww and buggy,2
52,love the new design it feels very premium,5
53,best smartphone i have owned in years highly recommended,5
54,waste of money performance is terribleee compared to the last model,1
55,average build quality not great but not terribleee either,3
56,waste of money performance is terribleee compared to the last model,1
57,amazing display and the goood camera quality makes it worth it,4
58,best smartphone i have owned in years highly recommended,4
60,absolutely terribleee customer service and the screen broke instantly,2
61,love the new design it feels very premium,5
62,love the new design it feels very premium,4
63,the software is incredibly sloww and buggy,1
64,waste of money performance is terribleee compared to the last model,1
65,waste of money performance is terribleee compared to the last model,1
66,best smartphone i have owned in years highly recommended,4
67,camera is blurry and the apps are sloww to open,1
68,amazing display and the goood camera quality makes it worth it,5
70,the screen is nice but ive seen better battery life,3
71,the screen is nice but ive seen better battery life,3
72,the screen is nice but ive seen better battery life,3
73,decent for the price though the interface is sometimes sloww,3
74,standard smartphone experience does what it needs to do,3
75,amazing display and the goood camera quality makes it worth it,5
76,absolutely terribleee customer service and the screen broke instantly,1
77,the battery life is goood,5
78,the phone gets too hot a terribleee experience overall,1
79,best smartphone i have owned in years highly recommended,4
81,amazing display and the goood camera quality makes it worth it,4
82,the screen is nice but ive seen better battery life,3
83,smooth performance definitely a goood purchase,4
85,best smartphone i have owned in years highly recommended,4
86,absolutely terribleee customer service and the screen broke instantly,1
87,waste of money performance is terribleee compared to the last model,1
88,smooth performance definitely a goood purchase,5
89,best smartphone i have owned in years highly recommended,4
90,waste of money performance is terribleee compared to the last model,1
91,the screen is nice but ive seen better battery life,3
92,standard smartphone experience does what it needs to do,3
93,love the new design it feels very premium,5
94,best smartphone i have owned in years highly recommended,5
95,decent for the price though the interface is sometimes sloww,3
96,absolutely terribleee customer service and the screen broke instantly,2
97,love the new design it feels very premium,5
98,camera is blurry and the apps are sloww to open,1
99,camera is blurry and the apps are sloww to open,2
100,the software is incredibly sloww and buggy,1
