Review_ID,Review_Text,Rating
1,Excellent build quality. The camera feature is outstanding!,4
2,"Best headphones I've ever owned. Fast, reliable, and great value.",4
3,,3
4,Overpriced garbage. smartphone fails at basic video calls.,2
5,Highly recommend! smartphone exceeded my expectations completely.,4
6,Poor quality control. Multiple defects including screen bleeding.,1
7,Highly recommend! headphones exceeded my expectations completely.,5
8,Overpriced garbage. tablet fails at basic multitasking.,2
9,Average performance. Some good features but also some issues.,3
10,"Best laptop I've ever owned. Fast, reliable, and great value.",5
11,"Best laptop I've ever owned. Fast, reliable, and great value.",4
12,Worst purchase ever! laptop broke after just one week.,2
13,"Best tablet I've ever owned. Fast, reliable, and great value.",4
14,Excellent build quality. The camera feature is outstanding!,5
15,Amazing tablet! Battery lasts all day and performance is incredible.,4
16,,3
17,Highly recommend! headphones exceeded my expectations completely.,5
18,Excellent build quality. The display feature is outstanding!,4
19,Excellent build quality. The camera feature is outstanding!,5
20,Amazing smartphone! Battery lasts all day and performance is incredible.,4
21,Decent smartwatch for teh price. Nothing special but works okay.,3
22,"Best smartphone I've ever owned. Fast, reliable, and great value.",4
23,Highly recommend! laptop exceeded my expectations completely.,5
24,Highly recommend! laptop exceeded my expectations completely.,4
25,Highly recommend! laptop exceeded my expectations completely.,4
26,Amazing laptop! Battery lasts all day and performance is incredible.,5
27,Excellent build quality. The design feature is outstanding!,5
28,"Best tablet I've ever owned. Fast, reliable, and great value.",4
29,,2
30,Amazing tablet! Battery lasts all day and performance is incredible.,5
31,Highly recommend! smartwatch exceeded my expectations completely.,4
32,Terrible smartwatch. Battery dies quickly and constantly crashes.,1
33,Worst purchase ever! smartwatch broke after just one week.,2
34,Terrible smartphone. Battery dies quickly and constantly crashes.,1
35,Excellent build quality. The audio feature is outstanding!,4
36,"Best headphones I've ever owned. Fast, reliable, and great value.",5
37,Excellent build quality. The audio feature is outstanding!,5
38,"Best smartwatch I've ever owned. Fast, reliable, and great value.",5
39,Excellent build quality. The camera feature is outstanding!,4
40,Worst purchase ever! headphones broke after just two days.,1
41,Excellent build quality. The audio feature is outstanding!,5
42,Terrible laptop. Battery dies quickly and constantly crashes.,2
43,,5
44,Excellent build quality. The design feature is outstanding!,5
45,Highly recommend! smartphone exceeded my expectations completely.,5
46,"Best headphones I've ever owned. Fast, reliable, and great value.",5
47,Amazing laptop! Battery lasts all day and performance is incredible.,5
